location,population,InfectedCases
"High income",1250514600,430643061
Europe,744807803,247817812
"European Union",450146793,183789043
India,1417173120,44687243
France,67813000,39649055
Germany,83369840,38111063
Brazil,215313504,37020531
Japan,123951696,33194709
Italy,59037472,25576852
Africa,1426736614,12515631
Australia,26177410,11366361
Argentina,45510324,10043308
Iran,88550568,7567619
Indonesia,275501344,6735451
Colombia,51874028,6357173
Austria,8939617,5897047
Greece,10384972,5548487
Chile,19603736,5161209
Israel,9449000,4797557
Belgium,11655923,4717655
Czechia,10493990,4607883
Canada,38454328,4600513
Denmark,5882259,3402975
"Hong Kong",7488863,2876106
Iraq,44496124,2465545
"Low income",737604900,2286253
Hungary,9967304,2194969
Bangladesh,171186368,2037773
China,1425887360,2023904
Georgia,3744385,1825598
Jordan,11285875,1746997
Ireland,5023108,1703244
Kazakhstan,19397998,1497449
Finland,5540745,1462169
Lithuania,2750058,1304023
Bulgaria,6781955,1296642
Croatia,4030361,1268666
Guatemala,17843914,1235918
Lebanon,5489744,1231577
"Costa Rica",5180836,1199055
Bolivia,12224114,1192696
Cuba,11212198,1112578
Ecuador,18001002,1056578
Belarus,9534956,994037
Latvia,1850654,975928
Azerbaijan,10358078,828492
Bahrain,1472237,706250
Kuwait,4268886,663456
"Dominican Republic",11228821,660533
Cyprus,896007,649093
Estonia,1326064,614852
Egypt,110990096,515698
Libya,6812344,507171
Ethiopia,123379928,499959
Honduras,10432858,471557
Armenia,2780472,446819
"Bosnia and Herzegovina",3233530,401575
Kenya,54027484,342900
Albania,2842318,334373
Botswana,2630300,329662
Luxembourg,647601,315945
Brunei,449002,277992
Kosovo,1782115,273002
Algeria,44903228,271439
Laos,7529477,218015
Afghanistan,41128772,209246
Iceland,372903,208999
Kyrgyzstan,6630621,206633
"El Salvador",6336393,201785
Ghana,33475870,171172
Jamaica,2827382,154065
Cambodia,16767851,138714
Cameroon,27914542,124328
Barbados,281646,106645
Angola,35588996,105205
"Democratic Republic of Congo",99010216,95646
"Cote d'Ivoire",28160548,88182
"French Polynesia",306292,77957
Eswatini,1201680,74199
Guyana,808727,73066
Belize,405285,70740
Fiji,929769,68889
Madagascar,29611718,67735
"Cape Verde",593162,63240
Bhutan,782457,62615
Burundi,12889583,53609
Gabon,2388997,48981
Andorra,79843,47866
Curacao,191173,45986
Aruba,106459,44145
Guinea,13859349,38267
"Isle of Man",84534,38008
Bahamas,409989,37491
Lesotho,2305826,34790
"Faeroe Islands",53117,34658
Haiti,11585003,34143
"Cayman Islands",68722,31472
Benin,13352864,27990
Congo,5970430,25375
"Burkina Faso",22673764,22056
Liechtenstein,39355,21395
Gibraltar,32677,20423
Grenada,125459,19680
Bermuda,64207,18799
"Equatorial Guinea",1674916,17229
Dominica,72758,15760
Djibouti,1120851,15690
"Central African Republic",5579148,15368
Gambia,2705995,12586
Greenland,56494,11971
"Bonaire Sint Eustatius and Saba",27052,11797
Eritrea,3684041,10189
"Antigua and Barbuda",93772,9106
Comoros,836783,8998
Guinea-Bissau,2105580,8953
Liberia,5302690,8065
Chad,17723312,7675
"British Virgin Islands",31332,7305
"Cook Islands",17032,7020
Kiribati,131237,5013
Anguilla,15877,3904
Macao,695180,3547
"Falkland Islands",3801,1930
